FacultyID,FacultyName,Email,Department
2001,"Dr. Anil Deshmukh",anil.deshmukh@ghrcem.edu,CSE
2002,"Prof. Neha Kulkarni",neha.kulkarni@ghrcem.edu,"Data Science"
2003,"Dr. Rahul Joshi",rahul.joshi@ghrcem.edu,AI&DS
2004,"Prof. Snehal Patil",snehal.patil@ghrcem.edu,CSE
2005,"Dr. Amit Shah",amit.shah@ghrcem.edu,"Data Science"
2006,"Prof. Pooja Jadhav",pooja.jadhav@ghrcem.edu,AI&DS
2007,"Dr. Suresh Pawar",suresh.pawar@ghrcem.edu,CSE
2008,"Prof. Kavita Shinde",kavita.shinde@ghrcem.edu,"Data Science"
2009,"Dr. Mahesh Bhosale",mahesh.bhosale@ghrcem.edu,AI&DS
2010,"Prof. Rina More",rina.more@ghrcem.edu,CSE
2011,"Dr. Vijay Patil",vijay.patil@ghrcem.edu,"Data Science"
2012,"Prof. Swati Joshi",swati.joshi@ghrcem.edu,AI&DS
